branch,step,checkpoint,alpha,accuracy,family_power_share_non_dc,native_family_share,baseline_accuracy
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,2.6500000953674316,0.9596679210662842,0.6425949533105823,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,2.700000047683716,0.9626439213752747,0.6511343487796796,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,2.75,0.9655415415763855,0.6594237566539706,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,2.799999952316284,0.9674994349479675,0.6674699898768961,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,2.8500001430511475,0.9709452390670776,0.6752798815347383,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,2.9000000953674316,0.9736079573631287,0.6828601112995283,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,2.950000047683716,0.9758790731430054,0.6902174067740795,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.0,0.9777586460113525,0.6973583746879544,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.049999952316284,0.9790116548538208,0.7042895228848193,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.0999999046325684,0.9803430438041687,0.7110172471305999,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.1499998569488525,0.9822225570678711,0.7175478202466524,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.200000047683716,0.9831623435020447,0.7238874130841896,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.25,0.9845719933509827,0.7300419675279952,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.299999952316284,0.985668420791626,0.7360173724329326,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.3499999046325684,0.9869214296340942,0.7418193378318179,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.3999998569488525,0.9877045750617981,0.7474534228403517,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.450000047683716,0.9888010025024414,0.7529250596573717,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,3.5,0.9893491864204407,0.7582394491904704,0.20383842843265645,0.45845407247543335
